artist,gender,POC
Aaron Lewis,M,N
Aaron Watson,M,N
Ashley McBryde,F,N
Avery Anna,F,N
BRELAND,M,Y
BRELAND Featuring Thomas Rhett,M,Y
Bailey Zimmerman,M,N
Bebe Rexha & Florida Georgia Line,F,N
Blake Shelton,M,N
Blake Shelton Duet With Gwen Stefani,M,N
Blake Shelton Featuring Gwen Stefani,M,N
Blake Shelton Featuring Trace Adkins,M,N
Blanco Brown,M,Y
Brad Paisley,M,N
Brantley Gilbert,M,N
Brantley Gilbert + Lindsay Ell,M,N
Brett Eldredge,M,N
Brett Young,M,N
Brothers Osborne,M,N
Carly Pearce,F,N
Carly Pearce & Ashley McBryde,F,N
Carly Pearce & Lee Brice,F,N
Carrie Underwood,F,N
Carrie Underwood & John Legend,F,N
Chase Rice,M,N
Chase Rice Featuring Florida Georgia Line,M,N
Chris Janson,M,N
Chris Lane,M,N
Chris Lane Featuring Tori Kelly,M,N
Chris Stapleton,M,N
Chris Tomlin Featuring Lady A,M,N
Chris Young,M,N
Chris Young + Kane Brown,M,N
Chris Young With Mitchell Tenpenny,M,N
Cody Johnson,M,N
Cole Swindell,M,N
Cole Swindell / Lainey Wilson,M,N
Corey Kent,M,N
Dan + Shay,M,N
Dan + Shay & Justin Bieber,M,N
Darius Rucker,M,Y
David Lee Murphy & Kenny Chesney,M,N
Dax,M,Y
Devin Dawson,M,N
Dierks Bentley,M,N
Dierks Bentley Featuring Brothers Osborne,M,N
"Dierks Bentley, BRELAND & HARDY",M,N
Diplo Presents Thomas Wesley Featuring Morgan Wallen,M,N
Drew Green,M,N
Dustin Lynch,M,N
Dylan Scott,M,N
ERNEST Featuring Morgan Wallen,M,N
Easton Corbin,M,N
Eli Young Band,M,N
Elle King & Miranda Lambert,F,N
Elvie Shane,M,N
Eric Church,M,N
Florida Georgia Line,M,N
Gabby Barrett,F,N
Garth Brooks,M,N
Garth Brooks & Blake Shelton,M,N
Garth Brooks & Trisha Yearwood,M,N
George Strait,M,N
Gone West,F,N
Granger Smith,M,N
HARDY,M,N
HARDY Featuring Lainey Wilson,M,N
HARDY Featuring Lauren Alaina & Devin Dawson,M,N
Hailey Whitters,F,N
High Valley,M,N
Ingrid Andress,F,N
Ingrid Andress With Sam Hunt,F,N
Jackson Dean,M,N
Jake Owen,M,N
Jameson Rodgers,M,N
Jameson Rodgers Featuring Luke Combs,M,N
Jason Aldean,M,N
Jason Aldean & Carrie Underwood,M,N
Jason Aldean Featuring Miranda Lambert,M,N
Jelly Roll,M,N
Jimmie Allen,M,Y
Jimmie Allen & Brad Paisley,M,Y
Jon Pardi,M,N
Jordan Davis,M,N
Jordan Davis Featuring Luke Bryan,M,N
Justin Moore,M,N
Kacey Musgraves,F,N
Kane Brown,M,Y
Kane Brown Featuring Lauren Alaina,M,Y
Kane Brown With Katelyn Brown,M,Y
Kane Brown X blackbear,M,Y
Keith Urban,M,N
Keith Urban Duet With P!nk,M,N
Keith Urban Featuring Julia Michaels,M,N
Kelly Clarkson & Brett Eldredge,F,N
Kelsea Ballerini,F,N
Kelsea Ballerini & LANY,F,N
Kelsea Ballerini Featuring Kenny Chesney,F,N
Kelsea Ballerini x Halsey,F,N
Kenny Chesney,M,N
Kip Moore,M,N
LANCO,M,N
LOCASH,M,N
Lady A,F,N
Lady Antebellum,F,N
Lainey Wilson,F,N
Lauren Alaina,F,N
Lee Brice,M,N
Lindsay Ell,F,N
Little Big Town,F,N
Luke Bryan,M,N
Luke Combs,M,N
Luke Combs Featuring Eric Church,M,N
Maddie & Tae,F,N
Maren Morris,F,N
Marshmello & Kane Brown,M,N
Mason Ramsey,M,N
Matt Stell,M,N
Megan Moroney,F,N
Michael Ray,M,N
Midland,M,N
Miranda Lambert,F,N
Mitchell Tenpenny,M,N
Morgan Evans,M,N
Morgan Wade,F,N
Morgan Wallen,M,N
Morgan Wallen Featuring Florida Georgia Line,M,N
Nate Smith,M,N
Nelly & Florida Georgia Line,M,Y
Niko Moon,M,Y
Old Dominion,M,N
Parker McCollum,M,N
Parmalee,M,N
Parmalee x Blanco Brown,M,N
Priscilla Block,F,N
Rascal Flatts,M,N
Restless Road,M,N
Riley Green,M,N
Rodney Atkins Featuring The Fisk Jubilee Singers,M,N
Runaway June,F,N
Russell Dickerson,M,N
Russell Dickerson & Jake Scott,M,N
Ryan Hurd,M,N
Ryan Hurd With Maren Morris,M,N
Sam Hunt,M,N
Scotty McCreery,M,N
Sugarland Featuring Taylor Swift,F,N
Taylor Swift,F,N
Taylor Swift Featuring Chris Stapleton,F,N
Tenille Arts,F,N
Tenille Townes,F,N
The Chicks,F,N
Thomas Rhett,M,N
Thomas Rhett Featuring Jon Pardi,M,N
"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",M,N
Thomas Rhett Featuring Riley Green,M,N
Tim McGraw,M,N
Tim McGraw & Faith Hill,M,N
Tim McGraw & Tyler Hubbard,M,N
Travis Denning,M,N
Trey Lewis,M,N
Tyler Hubbard,M,N
Tyler Rich,M,N
Walker Hayes,M,N
Warren Zeiders,M,N
Zac Brown Band,M,N
Zach Bryan,M,N