song,artist
Wasted On You,Morgan Wallen
You Proof,Morgan Wallen
'Til You Can't,Cody Johnson
Fancy Like,Walker Hayes
The Kind Of Love We Make,Luke Combs
Something In The Orange,Zach Bryan
She Had Me At Heads Carolina,Cole Swindell
Fall In Love,Bailey Zimmerman
Buy Dirt,Jordan Davis Featuring Luke Bryan
AA,Walker Hayes
5 Foot 9,Tyler Hubbard
Doin' This,Luke Combs
Wishful Drinking,Ingrid Andress With Sam Hunt
If I Didn't Love You,Jason Aldean & Carrie Underwood
All Too Well (Taylor's Version),Taylor Swift
She Likes It,Russell Dickerson & Jake Scott
Rock And A Hard Place,Bailey Zimmerman
Son Of A Sinner,Jelly Roll
Take My Name,Parmalee
Pick Me Up,Gabby Barrett
Damn Strait,Scotty McCreery
Trouble With A Heartbreak,Jason Aldean
You Should Probably Leave,Chris Stapleton
Like I Love Country Music,Kane Brown
Circles Around This Town,Maren Morris
Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter
Never Say Never,Cole Swindell / Lainey Wilson
Last Night Lonely,Jon Pardi
Beers On Me,"Dierks Bentley, BRELAND & HARDY"
Flower Shops,ERNEST Featuring Morgan Wallen
Sand In My Boots,Morgan Wallen
Slow Down Summer,Thomas Rhett
If I Was A Cowboy,Miranda Lambert
Whiskey On You,Nate Smith
Truth About You,Mitchell Tenpenny
Thought You Should Know,Morgan Wallen
Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert
Heart On Fire,Eric Church
Wild As Her,Corey Kent
One Mississippi,Kane Brown
Ghost Story,Carrie Underwood
To Be Loved By You,Parker McCollum
Never Wanted To Be That Girl,Carly Pearce & Ashley McBryde
Joy Of My Life,Chris Stapleton
Soul,Lee Brice
23,Sam Hunt
What My World Spins Around,Jordan Davis
Don't Come Lookin',Jackson Dean
Give Heaven Some Hell,HARDY
Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney
Best Thing Since Backroads,Jake Owen
Come Back As A Country Boy,Blake Shelton
7500 OBO,Tim McGraw
Freedom Was A Highway,Jimmie Allen & Brad Paisley
New Truck,Dylan Scott
With A Woman You Love,Justin Moore
At The End Of A Bar,Chris Young With Mitchell Tenpenny
Don't Think Jesus,Morgan Wallen
Whiskey And Rain,Michael Ray
Heartfirst,Kelsea Ballerini
Wild Hearts,Keith Urban
Half Of Me,Thomas Rhett Featuring Riley Green
Country On,Luke Bryan
Thank God,Kane Brown With Katelyn Brown
No Hard Feelings,Old Dominion
Cold As You,Luke Combs
Tomorrow Me,Luke Combs
Down Home,Jimmie Allen
I Bet You Think About Me (Taylor's Version) (From The Vault),Taylor Swift Featuring Chris Stapleton
Party Mode,Dustin Lynch
Home Sweet,Russell Dickerson
What He Didn't Do,Carly Pearce
Dear Alcohol,Dax
Wait In The Truck,HARDY Featuring Lainey Wilson
Out In The Middle,Zac Brown Band
Where It Ends,Bailey Zimmerman
Tequila Little Time,Jon Pardi
Praise The Lord,BRELAND Featuring Thomas Rhett
Chasing After You,Ryan Hurd With Maren Morris
Oklahoma Smoke Show,Zach Bryan
Wilder Days,Morgan Wade
Narcissist,Avery Anna
U Gurl,Walker Hayes
Hell Yeah,Little Big Town
Same Boat,Zac Brown Band
Leave You Alone,Kane Brown
Steal My Love,Dan + Shay
Y'all Life,Walker Hayes
Pick Out A Christmas Tree,Dan + Shay
Up,Luke Bryan
From Austin,Zach Bryan
That's What Tequila Does,Jason Aldean
Good Ol' Man,Drew Green
Cold,Chris Stapleton
Can't Have Mine,Dylan Scott
Tennessee Orange,Megan Moroney
Everything She Ain't,Hailey Whitters
Handle On You,Parker McCollum
Growing Old With You,Restless Road
Heart Like A Truck,Lainey Wilson
Forever After All,Luke Combs
Fancy Like,Walker Hayes
I Hope,Gabby Barrett
Better Together,Luke Combs
Famous Friends,Chris Young + Kane Brown
The Good Ones,Gabby Barrett
Chasing After You,Ryan Hurd With Maren Morris
Starting Over,Chris Stapleton
Lil Bit,Nelly & Florida Georgia Line
Glad You Exist,Dan + Shay
One Too Many,Keith Urban Duet With P!nk
Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert
What's Your Country Song,Thomas Rhett
Settling Down,Miranda Lambert
Sand In My Boots,Morgan Wallen
Hell Of A View,Eric Church
Things A Man Oughta Know,Lainey Wilson
Almost Maybes,Jordan Davis
Gone,Dierks Bentley
Good Time,Niko Moon
Wasted On You,Morgan Wallen
If I Didn't Love You,Jason Aldean & Carrie Underwood
Single Saturday Night,Cole Swindell
Breaking Up Was Easy In The 90's,Sam Hunt
Country Again,Thomas Rhett
Memory I Don't Mess With,Lee Brice
Waves,Luke Bryan
My Boy,Elvie Shane
Made For You,Jake Owen
Drinkin' Beer. Talkin' God. Amen.,Chase Rice Featuring Florida Georgia Line
Blame It On You,Jason Aldean
You Should Probably Leave,Chris Stapleton
More Than My Hometown,Morgan Wallen
Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs
Down To One,Luke Bryan
I Was On A Boat That Day,Old Dominion
Long Live,Florida Georgia Line
Nobody,Dylan Scott
We Didn't Have Much,Justin Moore
Just The Way,Parmalee x Blanco Brown
Buy Dirt,Jordan Davis Featuring Luke Bryan
Somebody's Problem,Morgan Wallen
Minimum Wage,Blake Shelton
Knowing You,Kenny Chesney
Somebody Like That,Tenille Arts
7 Summers,Morgan Wallen
Lady,Brett Young
Next Girl,Carly Pearce
Momma's House,Dustin Lynch
You Time,Scotty McCreery
Beers And Sunshine,Darius Rucker
Hole In The Bottle,Kelsea Ballerini
Memory,Kane Brown X blackbear
Cold As You,Luke Combs
Just About Over You,Priscilla Block
Happy Anywhere,Blake Shelton Featuring Gwen Stefani
I Should Probably Go To Bed,Dan + Shay
"Wine, Beer, Whiskey",Little Big Town
Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter
Whiskey And Rain,Michael Ray
Shallow,Garth Brooks & Trisha Yearwood
Still Goin Down,Morgan Wallen
Pretty Heart,Parker McCollum
Undivided,Tim McGraw & Tyler Hubbard
Same Boat,Zac Brown Band
Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney
How They Remember You,Rascal Flatts
Happy Does,Kenny Chesney
Tequila Little Time,Jon Pardi
Freedom Was A Highway,Jimmie Allen & Brad Paisley
Like A Lady,Lady A
Worship You,Kane Brown
"Big, Big Plans",Chris Lane
865,Morgan Wallen
Warning,Morgan Wallen
Champagne Night,Lady A
Give Heaven Some Hell,HARDY
To Be Loved By You,Parker McCollum
Dangerous,Morgan Wallen
Love Story (Taylor's Version),Taylor Swift
Home Sweet,Russell Dickerson
One Mississippi,Kane Brown
Livin' The Dream,Morgan Wallen
Am I The Only One,Aaron Lewis
One Of Them Girls,Lee Brice
Mr. Perfectly Fine (Taylor's Version) (From The Vault),Taylor Swift
Dicked Down In Dallas,Trey Lewis
One Beer,HARDY Featuring Lauren Alaina & Devin Dawson
Ain't Always The Cowboy,Jon Pardi
Love You Like I Used To,Russell Dickerson
All Night,Brothers Osborne
Take Me Home For Christmas,Dan + Shay
I Quit Drinking,Kelsea Ballerini & LANY
That's What Cowboys Do,Garth Brooks
Ride The Lightning (717 Tapes),Warren Zeiders
Under The Mistletoe,Kelly Clarkson & Brett Eldredge
Favorite Time Of Year,Carrie Underwood
Hallelujah,Carrie Underwood & John Legend
Truth About You,Mitchell Tenpenny
Lady Like,Ingrid Andress
I Hope,Gabby Barrett
The Bones,Maren Morris
"10,000 Hours",Dan + Shay & Justin Bieber
Chasin' You,Morgan Wallen
Nobody But You,Blake Shelton Duet With Gwen Stefani
One Man Band,Old Dominion
Got What I Got,Jason Aldean
Die From A Broken Heart,Maddie & Tae
I Hope You're Happy Now,Carly Pearce & Lee Brice
One Of Them Girls,Lee Brice
One Margarita,Luke Bryan
Hard To Forget,Sam Hunt
Kinfolks,Sam Hunt
One Beer,HARDY Featuring Lauren Alaina & Devin Dawson
Bluebird,Miranda Lambert
Does To Me,Luke Combs Featuring Eric Church
More Than My Hometown,Morgan Wallen
Even Though I'm Leaving,Luke Combs
Lovin' On You,Luke Combs
More Hearts Than Mine,Ingrid Andress
Cool Again,Kane Brown
Homesick,Kane Brown
I Love My Country,Florida Georgia Line
Be A Light,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban"
After A Few,Travis Denning
Beer Can't Fix,Thomas Rhett Featuring Jon Pardi
What She Wants Tonight,Luke Bryan
God Whispered Your Name,Keith Urban
Some Girls,Jameson Rodgers
Pretty Heart,Parker McCollum
Slow Dance In A Parking Lot,Jordan Davis
Heartache Medication,Jon Pardi
Here And Now,Kenny Chesney
Catch,Brett Young
One Night Standards,Ashley McBryde
Love You Like I Used To,Russell Dickerson
Why We Drink,Justin Moore
One Big Country Song,LOCASH
I Called Mama,Tim McGraw
What If I Never Get Over You,Lady Antebellum
We Back,Jason Aldean
Everywhere But On,Matt Stell
Done,Chris Janson
homecoming queen?,Kelsea Ballerini
I Should Probably Go To Bed,Dan + Shay
In Between,Scotty McCreery
I Wish Grandpas Never Died,Riley Green
Ain't Always The Cowboy,Jon Pardi
Homemade,Jake Owen
Happy Anywhere,Blake Shelton Featuring Gwen Stefani
7 Summers,Morgan Wallen
Make Me Want To,Jimmie Allen
Ridin' Roads,Dustin Lynch
Champagne Night,Lady A
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen
She's Mine,Kip Moore
One Thing Right,Marshmello & Kane Brown
"Big, Big Plans",Chris Lane
Just The Way,Parmalee x Blanco Brown
Lonely If You Are,Chase Rice
Better Together,Luke Combs
Monsters,Eric Church
Dive Bar,Garth Brooks & Blake Shelton
Remember You Young,Thomas Rhett
Good Time,Niko Moon
Drinking Alone,Carrie Underwood
Almost Maybes,Jordan Davis
Lady,Brett Young
Starting Over,Chris Stapleton
Hole In The Bottle,Kelsea Ballerini
Six Feet Apart,Luke Combs
My Truck,BRELAND
The Other Girl,Kelsea Ballerini x Halsey
The Good Ones,Gabby Barrett
Getting Good,Lauren Alaina
Betty,Taylor Swift
What Could've Been,Gone West
Momma's House,Dustin Lynch
Stick That In Your Country Song,Eric Church
Happy Does,Kenny Chesney
To A T,Ryan Hurd
Blessings,Florida Georgia Line
Her World Or Mine,Michael Ray
Tip Of My Tongue,Kenny Chesney
Forever After All,Luke Combs
No I In Beer,Brad Paisley
To Hell & Back,Maren Morris
Drowning,Chris Young
Hell Right,Blake Shelton Featuring Trace Adkins
"Wine, Beer, Whiskey",Little Big Town
Beers And Sunshine,Darius Rucker
This Bar,Morgan Wallen
Some People Do,Old Dominion
Who You Are To Me,Chris Tomlin Featuring Lady A
One Too Many,Keith Urban Duet With P!nk
We Were,Keith Urban
Cover Me Up,Morgan Wallen
Long Live,Florida Georgia Line
Gaslighter,The Chicks
Cheatin' Songs,Midland
Whiskey Glasses,Morgan Wallen
Speechless,Dan + Shay
God's Country,Blake Shelton
Beautiful Crazy,Luke Combs
Beer Never Broke My Heart,Luke Combs
The Git Up,Blanco Brown
Tequila,Dan + Shay
Rumor,Lee Brice
Knockin' Boots,Luke Bryan
Meant To Be,Bebe Rexha & Florida Georgia Line
Look What God Gave Her,Thomas Rhett
Talk You Out Of It,Florida Georgia Line
Good As You,Kane Brown
I Don't Know About You,Chris Lane
All To Myself,Dan + Shay
GIRL,Maren Morris
Miss Me More,Kelsea Ballerini
What Happens In A Small Town,Brantley Gilbert + Lindsay Ell
Prayed For You,Matt Stell
Eyes On You,Chase Rice
One Thing Right,Marshmello & Kane Brown
She Got The Best Of Me,Luke Combs
Rearview Town,Jason Aldean
Here Tonight,Brett Young
The Bones,Maren Morris
One Man Band,Old Dominion
On My Way To You,Cody Johnson
This Is It,Scotty McCreery
Love You Too Late,Cole Swindell
The Ones That Didn't Make It Back Home,Justin Moore
Every Little Thing,Russell Dickerson
Night Shift,Jon Pardi
Girl Like You,Jason Aldean
Good Vibes,Chris Janson
Living,Dierks Bentley
Make It Sweet,Old Dominion
Some Of It,Eric Church
Even Though I'm Leaving,Luke Combs
What If I Never Get Over You,Lady Antebellum
Millionaire,Chris Stapleton
Southbound,Carrie Underwood
Raised On Country,Chris Young
We Were,Keith Urban
Take It From Me,Jordan Davis
Love Someone,Brett Eldredge
"10,000 Hours",Dan + Shay & Justin Bieber
Best Shot,Jimmie Allen
Down To The Honkytonk,Jake Owen
Love Ain't,Eli Young Band
Love Wins,Carrie Underwood
Lose It,Kane Brown
What Makes You Country,Luke Bryan
There Was This Girl,Riley Green
Tip Of My Tongue,Kenny Chesney
Burning Man,Dierks Bentley Featuring Brothers Osborne
Sixteen,Thomas Rhett
Drunk Me,Mitchell Tenpenny
Ridin' Roads,Dustin Lynch
Buy My Own Drinks,Runaway June
One That Got Away,Michael Ray
Burn Out,Midland
To A T,Ryan Hurd
Rednecker,HARDY
Heartache Medication,Jon Pardi
Thought About You,Tim McGraw
Remember You Young,Thomas Rhett
Caught Up In The Country,Rodney Atkins Featuring The Fisk Jubilee Singers
It All Comes Out In The Wash,Miranda Lambert
Back To Life,Rascal Flatts
Every Little Honky Tonk Bar,George Strait
Dive Bar,Garth Brooks & Blake Shelton
Good Girl,Dustin Lynch
I Hope,Gabby Barrett
Homesick,Kane Brown
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen
Make Me Want To,Jimmie Allen
Nothing To Do Town,Dylan Scott
Rainbow,Kacey Musgraves
Someone I Used To Know,Zac Brown Band
Mr. Lonely,Midland
Last Shot,Kip Moore
More Hearts Than Mine,Ingrid Andress
Closer To You,Carly Pearce
Hell Right,Blake Shelton Featuring Trace Adkins
Day Drunk,Morgan Evans
Slow Dance In A Parking Lot,Jordan Davis
Somebody's Daughter,Tenille Townes
homecoming queen?,Kelsea Ballerini
The Difference,Tyler Rich
Never Comin Down,Keith Urban
I Wish Grandpas Never Died,Riley Green
Catch,Brett Young
We Back,Jason Aldean
Turnin' Me On,Blake Shelton
Neon Church,Tim McGraw
Kinfolks,Sam Hunt
Die From A Broken Heart,Maddie & Tae
Chasin' You,Morgan Wallen
Lonely If You Are,Chase Rice
Stronger Than Me,Garth Brooks
Meant To Be,Bebe Rexha & Florida Georgia Line
Heaven,Kane Brown
Tequila,Dan + Shay
You Make It Easy,Jason Aldean
Marry Me,Thomas Rhett
One Number Away,Luke Combs
Simple,Florida Georgia Line
Get Along,Kenny Chesney
Mercy,Brett Young
Up Down,Morgan Wallen Featuring Florida Georgia Line
Most People Are Good,Luke Bryan
Take Back Home Girl,Chris Lane Featuring Tori Kelly
Drowns The Whiskey,Jason Aldean Featuring Miranda Lambert
Break Up In The End,Cole Swindell
Broken Halos,Chris Stapleton
"Sunrise, Sunburn, Sunset",Luke Bryan
Hooked,Dylan Scott
Drunk Girl,Chris Janson
Singles You Up,Jordan Davis
Hotel Key,Old Dominion
Lose It,Kane Brown
Five More Minutes,Scotty McCreery
She Got The Best Of Me,Luke Combs
I Was Jack (You Were Diane),Jake Owen
Life Changes,Thomas Rhett
Beautiful Crazy,Luke Combs
I Lived It,Blake Shelton
"Woman, Amen",Dierks Bentley
All On Me,Devin Dawson
Blue Tacoma,Russell Dickerson
Yours,Russell Dickerson
Speechless,Dan + Shay
Hangin' On,Chris Young
The Long Way,Brett Eldredge
Babe,Sugarland Featuring Taylor Swift
Written In The Sand,Old Dominion
What Ifs,Kane Brown Featuring Lauren Alaina
Everything's Gonna Be Alright,David Lee Murphy & Kenny Chesney
Cry Pretty,Carrie Underwood
For The First Time,Darius Rucker
Greatest Love Story,LANCO
Kiss Somebody,Morgan Evans
Best Shot,Jimmie Allen
Rich,Maren Morris
Coming Home,Keith Urban Featuring Julia Michaels
Body Like A Back Road,Sam Hunt
I'll Name The Dogs,Blake Shelton
You Broke Up With Me,Walker Hayes
Born To Love You,LANCO
Drunk Me,Mitchell Tenpenny
Like I Loved You,Brett Young
Desperate Man,Eric Church
She's With Me,High Valley
Losing Sleep,Chris Young
Heart Break,Lady Antebellum
Female,Keith Urban
Millionaire,Chris Stapleton
Unforgettable,Thomas Rhett
Boy,Lee Brice
Get To You,Michael Ray
Hide The Wine,Carly Pearce
Legends,Kelsea Ballerini
Round Here Buzz,Eric Church
Light It Up,Luke Bryan
When It Rains It Pours,Luke Combs
Burning Man,Dierks Bentley Featuring Brothers Osborne
Happens Like That,Granger Smith
All Day Long,Garth Brooks
Last Shot,Kip Moore
I Could Use A Love Song,Maren Morris
Kinda Don't Care,Justin Moore
Downtown's Dead,Sam Hunt
I Hate Love Songs,Kelsea Ballerini
A Girl Like You,Easton Corbin
Shoot Me Straight,Brothers Osborne
She Ain't In It,Jon Pardi
Criminal,Lindsay Ell
Ones That Like Me,Brantley Gilbert
Burn Out,Midland
Good Girl,Dustin Lynch
The Rest Of Our Life,Tim McGraw & Faith Hill
Take It From Me,Jordan Davis
Must've Never Met You,Luke Combs
Three Chords & The Truth,Chase Rice
Make A Little,Midland
Turnin' Me On,Blake Shelton
This Is It,Scotty McCreery
"Houston, We Got A Problem",Luke Combs
I'd Be Jealous Too,Dustin Lynch
Down To The Honkytonk,Jake Owen
Famous,Mason Ramsey
Outta Style,Aaron Watson
A Little Dive Bar In Dahlonega,Ashley McBryde
David Ashley Parker From Powder Springs,Travis Denning
Doin' Fine,Lauren Alaina
The Difference,Tyler Rich
On My Way To You,Cody Johnson
Love Wins,Carrie Underwood
Girl Like You,Jason Aldean
Caught Up In The Country,Rodney Atkins Featuring The Fisk Jubilee Singers